system:time_start,Rrs_412,Rrs_443,Rrs_469,Rrs_488,Rrs_531,Rrs_547,Rrs_555,Rrs_645,Rrs_667,Rrs_678,chlor_a,nflh,poc,sst
"Jan 1, 2020",0,0.001,0.002,0.003,0.005,0.005,0.005,0.001,0.001,0.001,21.107,0.113,"2,772.334",26.831
"Jan 8, 2020",0.001,0.001,0.003,0.003,0.005,0.005,0.005,0.002,0.002,0.001,13.982,0.118,"1,259.343",26.63
"Jan 15, 2020",0,0.001,0.002,0.002,0.003,0.003,0.003,0.001,0.001,0.001,5.184,,651.52,25.934
"Jan 22, 2020",-0.002,-0,0.002,0.002,0.004,0.004,0.004,0.002,0.002,0.002,17.884,-0.006,"9,998.8",25.266
"Jan 29, 2020",-0,0.001,0.002,0.002,0.003,0.003,0.003,0.002,0.001,0.001,14.684,0.247,"2,866.658",26.105
"Feb 5, 2020",-0.001,0.001,0.002,0.003,0.005,0.005,0.005,0.002,0.001,0.001,29.8,0.129,"3,285.013",27.035
"Feb 12, 2020",0,0.001,0.003,0.003,0.005,0.006,0.005,0.002,0.002,0.002,20.694,0.083,"1,886.058",26.788
"Feb 19, 2020",0,0.001,0.002,0.002,0.004,0.004,0.004,0.001,0.001,0.001,15.897,0.028,"1,312.259",27.369
"Feb 26, 2020",-0.001,0.001,0.002,0.002,0.003,0.003,0.003,0.001,0.001,0.001,20.325,0.099,"3,077.466",26.461
"Mar 4, 2020",-0.001,0,0.002,0.002,0.004,0.005,0.004,0.002,0.002,0.002,27.518,0.179,"6,082.653",26.885
"Mar 11, 2020",-0,0,0.002,0.002,0.004,0.004,0.004,0.002,0.002,0.002,16.84,0.13,"4,224.073",26.857
"Mar 18, 2020",0,0.001,0.002,0.002,0.004,0.004,0.004,0.002,0.002,0.002,20.007,0.164,"2,913.022",26.62
"Mar 25, 2020",-0,0,0.002,0.002,0.003,0.003,0.003,0.001,0.001,0.001,13.926,0.116,"2,279.221",27.273
"Apr 1, 2020",-0,0.001,0.002,0.002,0.004,0.004,0.003,0.001,0.001,0.001,15.798,0.103,"2,295.136",27.147
"Apr 8, 2020",0.001,0.002,0.003,0.004,0.006,0.007,0.006,0.003,0.002,0.002,15.119,0.192,"1,489.354",26.977
"Apr 15, 2020",-0,0.001,0.002,0.003,0.005,0.005,0.005,0.002,0.002,0.002,19.343,0.244,"4,008.457",26.533
"Apr 22, 2020",0,0.001,0.002,0.002,0.003,0.003,0.002,0.001,0.001,0.001,8.176,0.118,946.339,27.056
"Apr 29, 2020",0,0.001,0.002,0.002,0.004,0.004,0.004,0.002,0.001,0.001,20.569,0.194,"3,040.16",26.993
"May 6, 2020",0,0.001,0.002,0.002,0.004,0.004,0.004,0.002,0.002,0.002,19.665,0.223,"3,579.746",26.549
"May 13, 2020",0,0.001,0.002,0.003,0.004,0.004,0.004,0.002,0.002,0.002,16.069,0.223,"2,227.202",26.546
"May 20, 2020",-0.001,0,0.002,0.002,0.004,0.004,0.004,0.002,0.001,0.002,20.064,0.189,"4,854.066",26.285
"May 27, 2020",-0.001,0,0.002,0.002,0.004,0.004,0.004,0.002,0.001,0.001,21.541,0.177,"5,072.866",26.104
"Jun 3, 2020",-0.001,0,0.001,0.002,0.003,0.003,0.003,0.001,0.001,0.001,24.401,0.183,"4,683.187",26.34
"Jun 10, 2020",-0.001,-0,0.001,0.002,0.003,0.003,0.003,0.002,0.001,0.001,25.114,0.14,"5,138.259",25.601
"Jun 17, 2020",-0.001,-0,0.001,0.001,0.003,0.003,0.002,0.001,0.001,0.001,23.72,0.101,"6,082.473",25.558
"Jun 24, 2020",-0.002,-0,0.001,0.002,0.004,0.004,0.004,0.002,0.002,0.002,30.412,0.155,"5,481.657",25.45
"Jul 1, 2020",-0.002,-0,0.001,0.002,0.003,0.004,0.003,0.002,0.001,0.001,33.922,0.197,"6,373.61",25.371
"Jul 8, 2020",-0.001,0,0.001,0.002,0.004,0.004,0.003,0.002,0.001,0.001,17.504,0.168,"6,872.193",25.381
"Jul 15, 2020",-0.002,-0,0.001,0.002,0.004,0.004,0.003,0.002,0.002,0.002,28.489,0.147,"7,182.28",24.878
"Jul 22, 2020",-0.002,-0,0.002,0.002,0.004,0.005,0.004,0.002,0.002,0.002,20.322,0.141,"2,006.2",25.074
"Jul 29, 2020",-0.001,-0,0.001,0.001,0.003,0.003,0.002,0.001,0.001,0.001,26.673,0.139,"6,649.305",25.258
"Aug 5, 2020",-0.002,-0,0.001,0.002,0.004,0.004,0.004,0.002,0.002,0.002,35.163,0.193,"5,974.06",24.998
"Aug 12, 2020",-0.001,0,0.002,0.002,0.005,0.005,0.005,0.002,0.002,0.002,37.586,0.285,"4,874.267",24.726
"Aug 19, 2020",-0.001,0,0.001,0.002,0.003,0.003,0.003,0.001,0.001,0.001,25.425,0.212,"5,179.615",25.246
"Aug 26, 2020",-0,0,0.001,0.002,0.003,0.003,0.003,0.001,0.001,0.001,15.553,0.139,"3,110.246",25.804
"Sep 2, 2020",0,0.001,0.002,0.002,0.004,0.004,0.003,0.001,0.001,0.001,15.106,0.08,916.808,25.485
"Sep 9, 2020",0,0.001,0.002,0.002,0.004,0.004,0.003,0.001,0.001,0.001,14.946,0.153,"1,673.101",25.576
"Sep 16, 2020",-0.001,0,0.002,0.002,0.004,0.005,0.004,0.002,0.002,0.002,27.499,0.07,"4,032.781",25.768
"Sep 23, 2020",0,0.001,0.002,0.002,0.004,0.004,0.003,0.002,0.001,0.001,14.511,0.233,"1,999.364",25.9
"Sep 30, 2020",-0.001,0,0.001,0.002,0.004,0.004,0.004,0.002,0.002,0.002,33.63,0.078,"2,978.372",25.94
"Oct 7, 2020",-0.001,0,0.002,0.002,0.004,0.004,0.004,0.002,0.002,0.002,33.912,0.004,"1,445.315",26.215
"Oct 14, 2020",0,0.001,0.002,0.002,0.004,0.004,0.003,0.001,0.001,0.001,12.513,0.144,"1,381.048",26.003
"Oct 21, 2020",-0.001,-0,0.001,0.002,0.003,0.003,0.003,0.001,0.001,0.001,23.385,0.09,"5,846.393",26.263
"Oct 28, 2020",-0,0.001,0.002,0.002,0.003,0.003,0.003,0.001,0.001,0.001,13.952,0.149,"1,895.45",26.322
"Nov 4, 2020",-0,0.001,0.002,0.002,0.003,0.003,0.003,0.001,0.001,0.001,16.718,0.096,"2,551.087",26.265
