system:time_start,sst
"Jan 1, 2020",26.831
"Jan 8, 2020",26.63
"Jan 15, 2020",25.934
"Jan 22, 2020",25.266
"Jan 29, 2020",26.105
"Feb 5, 2020",27.035
"Feb 12, 2020",26.788
"Feb 19, 2020",27.369
"Feb 26, 2020",26.461
"Mar 4, 2020",26.885
"Mar 11, 2020",26.857
"Mar 18, 2020",26.62
"Mar 25, 2020",27.273
"Apr 1, 2020",27.147
"Apr 8, 2020",26.977
"Apr 15, 2020",26.533
"Apr 22, 2020",27.056
"Apr 29, 2020",26.993
"May 6, 2020",26.549
"May 13, 2020",26.546
"May 20, 2020",26.285
"May 27, 2020",26.104
"Jun 3, 2020",26.34
"Jun 10, 2020",25.601
"Jun 17, 2020",25.558
"Jun 24, 2020",25.45
"Jul 1, 2020",25.371
"Jul 8, 2020",25.381
"Jul 15, 2020",24.878
"Jul 22, 2020",25.074
"Jul 29, 2020",25.258
"Aug 5, 2020",24.998
"Aug 12, 2020",24.726
"Aug 19, 2020",25.246
"Aug 26, 2020",25.804
"Sep 2, 2020",25.485
"Sep 9, 2020",25.576
"Sep 16, 2020",25.768
"Sep 23, 2020",25.9
"Sep 30, 2020",25.94
"Oct 7, 2020",26.215
"Oct 14, 2020",26.003
"Oct 21, 2020",26.263
"Oct 28, 2020",26.322
"Nov 4, 2020",26.265
"Nov 11, 2020",26.549
"Nov 18, 2020",26.514
"Nov 25, 2020",26.613
"Dec 2, 2020",26.266
"Dec 9, 2020",26.16
"Dec 16, 2020",25.934
"Dec 23, 2020",26.21
"Dec 30, 2020",26.065
"Jan 6, 2021",26.333
"Jan 13, 2021",25.871
"Jan 20, 2021",25.81
"Jan 27, 2021",26.26
"Feb 3, 2021",25.68
"Feb 10, 2021",26.446
"Feb 17, 2021",25.59
"Feb 24, 2021",25.998
"Mar 3, 2021",25.957
"Mar 10, 2021",25.809
"Mar 17, 2021",26.747
"Mar 24, 2021",26.402
"Mar 31, 2021",26.531
"Apr 7, 2021",26.519
"Apr 14, 2021",26.099
"Apr 21, 2021",26.413
"Apr 28, 2021",26.521
"May 5, 2021",27.072
"May 12, 2021",26.379
"May 19, 2021",25.979
"May 26, 2021",25.677
"Jun 2, 2021",25.721
"Jun 9, 2021",25.226
"Jun 16, 2021",25.053
"Jun 23, 2021",25.164
"Jun 30, 2021",25.457
"Aug 4, 2021",25.163
"Aug 11, 2021",24.851
"Aug 18, 2021",25.343
"Aug 25, 2021",25.619
"Sep 1, 2021",25.27
"Sep 8, 2021",25.265
"Sep 15, 2021",25.628
"Sep 22, 2021",25.503
"Sep 29, 2021",25.547
"Oct 6, 2021",25.845
"Oct 13, 2021",26.269
"Oct 20, 2021",26.579
"Oct 27, 2021",26.585
"Nov 3, 2021",26.143
"Nov 10, 2021",26.509
"Nov 17, 2021",26.605
"Nov 24, 2021",26.283
"Dec 1, 2021",26.29
"Dec 8, 2021",26.476
"Dec 15, 2021",26.557
"Dec 22, 2021",26.594
